ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
639008091,23236797,,,Woodburn Crescent,,,,Woodburn Crescent,,Woodburn Crescent,,,,Craigiebuckler Avenue (W Side),,N,N0073328,Craigiebuckler,Aberdeen,,Aberdeen,,Craigiebuckler,,0,UKOS,390105,805346,-2.165126,57.1389,BCT,MKD,OTH,,,,111,2004-09-22T00:00:00.000,2006-09-13T08:12:00.000,2,delete,inactive
639008092,23236832,,,Woodburn Gardens,,,,Woodburn Gardens,,Woodburn Gardens,,,,Craigiebuckler Avenue (E Side),,S,N0073328,Craigiebuckler,Aberdeen,,Aberdeen,,Craigiebuckler,,0,UKOS,390125,805319,-2.164795,57.138658,BCT,MKD,OTH,,,,111,2004-09-22T00:00:00.000,2006-09-13T08:12:00.000,2,delete,inactive
639008102,23232363,,,Coronation Rd Health Centre,,,,Coronation Rd Health Centre,,Coronation Rd,,,,at Nos 26 and 28,,W,ES003009,Peterculter,,,Aberdeen,,Culter,,0,UKOS,384482,800919,-2.257755,57.098976,BCT,MKD,OTH,,,,111,2003-09-25T00:00:00.000,2012-08-27T10:31:00.000,4,delete,inactive
639008352,23237238,,,Howe Moss Crescent,,,,Howe Moss Drive,,Howe Moss Crescent,,,,45m West of Howe Moss Drive,,E,ES001198,Dyce,,,Aberdeen,,Dyce,,0,UKOS,386812,812436,-2.2199131,57.2025053,BCT,MKD,OTH,,,,111,2006-05-18T12:07:00.000,2010-06-25T08:56:00.000,6,delete,inactive
639008373,23237234,,,Howe Moss Terrace,,,,Howe Moss Avenue,,Howe Moss Avenue,,,,112m west of Dyce Drive,,NW,ES001198,Dyce,,,Aberdeen,,Dyce,,0,UKOS,387174,813349,-2.2139691,57.2107170,BCT,MKD,OTH,,,,111,2008-12-11T09:52:00.000,2010-05-11T08:38:00.000,1,delete,inactive
639009052,23237435,,,Peterseat Drive,,,,Peterseat Drive,,Minto Avenue,,,,opp,,W,ES002838,Altens,Aberdeen,,Altens,,-,,0,UKOS,395718,803152,-2.0723464,57.1192792,BCT,MKD,OTH,,,,111,2012-10-01T14:13:00.000,2012-10-01T14:14:00.000,1,delete,inactive
639009061,23237436,,,Minto Place,,,,Minto Place,,Minto Drive,,,,opp,,N,ES002838,Altens,Aberdeen,,Altens,,-,,1,UKOS,395918,802957,-2.0690404,57.1175294,BCT,MKD,OTH,,,,111,2012-10-01T14:15:00.000,2012-10-01T14:16:00.000,1,delete,inactive
639040692,23236838,,,Ardoe,,,,Ardoe,,B9077,,,,B9077,,E,ES000269,Banchory-Devenick,Portlethen,,Aberdeen,,Banchory/Devenick,,0,UKOS,390525,802509,-2.158078,57.113424,BCT,MKD,OTH,,,,111,2003-09-23T00:00:00.000,2006-12-14T12:55:00.000,1,delete,inactive
639061341,23236842,,,Bucklerburn View,,,,Peterculter,,Bucklerburn Drive,,,,Bucklerburn Drive,,NE,ES003009,Peterculter,,,Aberdeen,,Peterculter,,0,UKOS,383698,801476,-2.270732,57.103952,BCT,CUS,OTH,,,,111,2004-12-01T00:00:00.000,2012-08-27T10:31:00.000,4,delete,inactive
639061351,23236927,,,Cults Academy,,,,Hillview Crescent,,Cults Academy,,,,Opposite School,,NE,ES000921,Cults,,,Aberdeen,,Cults,,0,UKOS,388609,803167,-2.189744,57.119291,BCT,CUS,OTH,,,,111,2005-12-02T00:00:00.000,2012-08-27T10:32:00.000,2,delete,inactive
639066243,23236837,,,Bishopston,,,,Bishopston,,A96,,,,On  A96,,N,N0073345,Tyrebagger,Blackburn,,Aberdeen,,Tyrebagger,,0,UKOS,384034,811976,-2.265862,57.198284,BCT,CUS,OTH,,,,111,2003-12-11T00:00:00.000,2006-12-14T13:46:00.000,2,delete,inactive
639066251,23236845,,,Begsley,,,,Begsley,,Unclassified road,,,,East of B979,,E,N0076705,Caskieben,,,Aberdeen,,Blackburn,,0,UKOS,383459,813666,-2.27549,57.213445,BCT,CUS,OTH,,,,111,2003-12-11T00:00:00.000,2006-12-14T13:47:00.000,2,delete,inactive
639066511,23236836,,,Charelston Road,,,,Cove,,Cove,,,,Charelston Road,,E,ES000814,Cove Bay,Aberdeen,,Aberdeen,,Cove,,0,UKOS,394331,801168,-2.095205,57.101442,BCT,CUS,OTH,,,,111,2004-12-01T00:00:00.000,2006-12-14T13:48:00.000,2,delete,inactive
639066861,23236859,,,Kirk Brae,,,,65m nw of North Deeside Road ws,,Kirk Brae,,,,Opp Sub Station,,NW,ES000921,Cults,,,Aberdeen,,Cults,,0,UKOS,389405,803063,-2.176594,57.118376,BCT,CUS,OTH,,,,111,2005-09-08T00:00:00.000,2012-08-27T10:32:00.000,7,delete,inactive
639067011,23237259,,,Car Park,,,,Sainsbury's Car Park,,Garthdee Road,,,,opp,,SW,ES001496,Garthdee,Aberdeen,,Aberdeen,,Garthdee,,0,UKOS,392493,803276,-2.1256073,57.1203510,BCT,CUS,OTH,,,,111,2009-08-13T12:14:00.000,2009-08-13T13:38:00.000,2,delete,inactive
639067261,23236952,,,Kirkhill Industrial Estate,,,,Howe Moss Terrace,,Howe Moss Avenue,,,,Howe Moss Avenue opposite Howe Moss Terrace,,E,ES001198,Dyce,,,Aberdeen,,Dyce,,1,UKOS,387023,813398,-2.2164715,57.2111529,BCT,CUS,PPT,,,,111,2006-04-12T09:47:00.000,2010-06-25T08:56:00.000,5,delete,inactive
639080008,23236826,,,Aberdeen Railway Station,,,,Aberdeen Railway Station,,Aberdeen Railway Station,,,,Aberdeen Railway Station,,E,ES000011,Aberdeen,,,Aberdeen,,City centre,,1,UKOS,394168,805885,-2.098008,57.143812,BCT,MKD,OTH,,,,111,2004-09-22T00:00:00.000,2006-12-14T13:53:00.000,2,delete,inactive
63908361,23236984,,,Howe Moss Place,,,,Howe Moss Crescent,,Howe Moss Avenue,,,,West Side 45m (n) of Howe Moss Cres (north ent),,N,ES001198,Dyce,,,Aberdeen,,"Dyce ",,0,UKOS,386779,812978,-2.2204883,57.2073730,BCT,MKD,OTH,,,,111,2006-05-18T12:13:00.000,2006-12-14T13:54:00.000,2,delete,inactive
63909200AIR,23236567,,,Aberdeen Airport,,,,Passenger Terminal,,Brent Road,,,,Passerger Terminal,,,ES001198,Dyce,,,Aberdeen,,Dyce,,1,UKOS,387750,812186,-2.204376,57.200286,AIR,,,,,,111,2004-05-13T00:00:00.000,2006-03-02T12:35:00.000,2,delete,inactive
639006359,23237645,,,Holburn Junction,,,,Holburn Junction,,Union Street,,,,Stop A9,,SW,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393451,805839,-2.109856,57.143387,BCT,MKD,OTH,,,,111,2020-07-22T14:39:32.000,2022-06-16T18:58:16.000,2,revise,inactive
639006310,23237646,,,Holburn Junction,,,,,,Union Street,,,,Stop A10,,SW,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393413,805819,-2.110483,57.143207,BCT,MKD,OTH,,,,111,2020-07-22T15:06:14.000,2025-08-20T17:56:43.745,5,revise,inactive
639006405,23237647,,,St Andrew's Cathedral,,,,St Andrew's Cathedral,,King Street,,,,Stop J5,,N,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,394434,806438,-2.093626,57.148781,BCT,MKD,OTH,,,,111,2020-07-22T15:10:23.001,2024-11-07T15:03:00.997,2,revise,active
639006464,23237648,,,Shiprow,,,,Shiprow,,Market Street,,,,Stop M10,,SE,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,394255,806159,-2.096577,57.146273,BCT,MKD,OTH,,,,111,2020-07-22T15:13:05.001,2025-07-01T13:34:20.411,1,revise,active
639006447,23237649,,,Adelphi,,,,Adelphi,,Adelphi Lane,,,,Stop G7,,SW,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,394264,806252,-2.096431,57.147109,BCT,MKD,OTH,,,,111,2020-07-22T15:16:15.000,2022-03-30T12:26:59.001,2,revise,inactive
639006378,23237652,,,Music Hall,,,,Music Hall,,Union Street,,,,Stop C1,,NE,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393688,805982,-2.105943,57.144675,BCT,MKD,OTH,,,,111,2020-07-22T15:19:12.000,2024-08-06T15:54:19.687,4,revise,active
639006379,23237653,,,Music Hall,,,,Music Hall,,Union Street,,,,Stop C5,,NE,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393874,806078,-2.102872,57.14554,BCT,MKD,OTH,,,,111,2020-07-22T15:21:29.000,2022-08-10T17:14:30.000,1,revise,inactive
639006367,23237654,,,Langstane Kirk,,,,Langstane Kirk,,Union Street,,,,Stop B1,,NE,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393494,805880,-2.109146,57.143756,BCT,MKD,OTH,,,,111,2020-07-22T15:23:52.001,2022-08-10T13:07:24.000,1,revise,inactive
639006311,23237656,,,Holburn Junction,,,,Holburn Junction,,Union Street,,,,Stop A11,,NE,ES000011,Aberdeen,,,Aberdeen,,,,,UKOS,393428,805847,-2.110236,57.143459,BCT,MKD,OTH,,,,111,2020-09-21T13:47:54.000,2022-06-16T16:07:48.001,1,revise,inactive
639001573,23237657,,,Middlefield Terrace,,,,Middlefield Terrace,,Hilton Road,,,,at,,NE,ES001768,Hilton,Aberdeen,,Aberdeen,,Hilton,,,UKOS,391847,808366,-2.136445,57.166061,BCT,MKD,OTH,,,,111,2020-09-30T10:57:20.001,2020-09-30T10:57:20.001,0,new,active
639001574,23237676,,,Middlefield Terrace,,,,Middlefield Terrace,,Hilton Road,,,,opp,,SW,ES001768,Hilton,Aberdeen,,,,Hilton,,,UKOS,391837,808346,-2.13661,57.165881,BCT,MKD,OTH,,,,111,2020-09-30T10:59:45.000,2020-09-30T10:59:45.000,0,new,active
639001575,23237658,,,Hilton Heights,,,,,,Hilton Road,,,,opp,,NE,ES001768,Hilton,Aberdeen,,Aberdeen,,Hilton,,,UKOS,392191,808464,-2.13076,57.166948,BCT,MKD,OTH,,,,111,2020-09-30T11:01:51.001,2020-09-30T11:01:51.001,0,new,active
639001576,23237682,,,Hilton Heights,,,,Hilton Heights,,Hilton Road,,,,at,,SW,ES001768,Hilton,Aberdeen,,Aberdeen,,Hilton,,,UKOS,392186,808447,-2.130842,57.166795,BCT,MKD,OTH,,,,111,2020-09-30T11:04:05.000,2020-09-30T11:04:05.000,0,new,active
639007979,23237659,,,P & J Live,,,,P & J Live,,East Burn Road,,,,at,,E,N0066839,Stoneywood,,,Aberdeen,,Stoneywood,,,UKOS,388704,810541,-2.188513,57.185532,BCT,MKD,OTH,,,,111,2021-02-11T17:59:40.000,2025-11-05T15:26:30.478,1,revise,active
639001103,23237672,,,Foresterhill Health Centre,,,,Foresterhill Health Centre,,Westburn Road,,,,adj,,E,ES003822,Westburn,Aberdeen,,Aberdeen,,,,,UKOS,391385,806841,-2.144031,57.152354,BCT,MKD,OTH,,,,111,2022-05-11T12:03:22.000,2022-05-11T12:03:22.000,0,new,active
639002142,23237673,,,Turning Circle,,,,Haudagain By-Pass Turning Circle,,Unclassified Road,,,,at,,SW,N0079509,Scatterburn,Aberdeen,,Aberdeen,,,,,UKOS,391215,808998,-2.146917,57.171727,BCT,MKD,OTH,,,,111,2022-05-27T18:23:21.001,2022-09-23T17:33:21.000,3,revise,active
